Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GN3,NO,21/11/2011 00:00,56.10000,ug m-3,R
GN3,NO,22/11/2011 00:00,79.10000,ug m-3,R
GN3,NO,23/11/2011 00:00,70.50000,ug m-3,R
GN3,NO,24/11/2011 00:00,21.90000,ug m-3,R
GN3,NO,25/11/2011 00:00,28.60000,ug m-3,R
GN3,NO,26/11/2011 00:00,14.10000,ug m-3,R
GN3,NO,27/11/2011 00:00,29.40000,ug m-3,R
GN3,NO,28/11/2011 00:00,67.90000,ug m-3,R
GN3,NO,29/11/2011 00:00,12.30000,ug m-3,R
GN3,NO,30/11/2011 00:00,17.00000,ug m-3,R
GN3,NO,01/12/2011 00:00,35.80000,ug m-3,R
GN3,NO,02/12/2011 00:00,49.60000,ug m-3,R
GN3,NO,03/12/2011 00:00,22.20000,ug m-3,R
GN3,NO,04/12/2011 00:00,17.30000,ug m-3,R
GN3,NO,05/12/2011 00:00,26.80000,ug m-3,R
GN3,NO,06/12/2011 00:00,29.10000,ug m-3,R
GN3,NO,07/12/2011 00:00,22.20000,ug m-3,R
GN3,NO,08/12/2011 00:00,12.50000,ug m-3,R
GN3,NO,09/12/2011 00:00,31.60000,ug m-3,R
GN3,NO,10/12/2011 00:00,37.80000,ug m-3,R
GN3,NO,11/12/2011 00:00,12.20000,ug m-3,R
GN3,NO,12/12/2011 00:00,21.30000,ug m-3,R
GN3,NO,13/12/2011 00:00,17.00000,ug m-3,R
GN3,NO,14/12/2011 00:00,24.00000,ug m-3,R
GN3,NO,15/12/2011 00:00,22.10000,ug m-3,R
GN3,NO,16/12/2011 00:00,29.00000,ug m-3,R
GN3,NO,17/12/2011 00:00,44.10000,ug m-3,R
GN3,NO,18/12/2011 00:00,39.90000,ug m-3,R
GN3,NO,19/12/2011 00:00,42.80000,ug m-3,R
GN3,NO,20/12/2011 00:00,39.50000,ug m-3,R
GN3,NO,21/12/2011 00:00,55.90000,ug m-3,R
GN3,NO,22/12/2011 00:00,36.00000,ug m-3,R
GN3,NO,23/12/2011 00:00,18.90000,ug m-3,R
GN3,NO,24/12/2011 00:00,26.30000,ug m-3,R
GN3,NO,25/12/2011 00:00,5.30000,ug m-3,R
GN3,NO,26/12/2011 00:00,10.90000,ug m-3,R
GN3,NO,27/12/2011 00:00,15.60000,ug m-3,R
GN3,NO,28/12/2011 00:00,14.00000,ug m-3,R
GN3,NO,29/12/2011 00:00,14.50000,ug m-3,R
GN3,NO,30/12/2011 00:00,26.50000,ug m-3,R
GN3,NO,31/12/2011 00:00,16.90000,ug m-3,R
GN3,NO,01/01/2012 00:00,13.90000,ug m-3,R
